step,hp,enemy,coin
35,1,2,2
25,1,2,2
42,2,2,2
39,2,2,2
30,1,2,2
40,2,2,2
26,1,2,2
29,1,2,2
30,2,2,2
26,2,2,2
41,1,2,2
38,2,2,2
20,1,2,2
67,2,2,2
19,2,2,2
52,2,2,2
36,1,2,2
45,2,2,2
40,0,1,2
38,1,2,2
73,2,2,2
25,2,2,2
51,1,2,2
26,2,2,2
38,2,2,2
86,2,2,2
45,2,2,2
45,2,2,2
27,1,2,2
26,2,2,2
24,1,2,2
48,1,2,2
33,1,2,2
56,1,2,2
38,2,2,2
31,1,2,2
29,1,2,2
65,2,2,2
28,1,2,2
41,2,2,2
28,1,2,2
49,1,2,2
50,1,2,2
34,2,2,2
54,1,2,2
77,2,1,2
50,1,2,2
27,1,2,2
79,1,2,2
57,2,2,2
27,2,2,2
65,1,2,2
59,1,2,2
49,1,2,2
24,1,2,2
41,1,2,2
21,2,2,2
22,2,2,2
25,1,2,2
43,1,2,2
20,2,2,2
37,2,2,2
27,1,2,2
52,1,2,2
95,2,2,2
31,2,2,2
21,1,2,2
45,2,2,2
100,2,2,1
100,2,1,2
49,2,2,2
21,1,2,2
38,1,2,2
21,2,2,2
40,1,2,2
38,1,2,2
24,1,2,2
48,1,2,2
100,2,2,2
33,1,2,2
23,2,2,2
36,1,2,2
37,2,2,3
40,1,2,2
32,2,2,2
23,1,2,2
45,1,2,2
49,2,2,2
33,1,2,2
44,2,2,2
52,2,2,2
45,2,2,2
51,2,2,2
35,2,2,2
31,2,2,2
83,2,2,2
25,2,2,2
26,1,2,2
36,1,2,2
19,1,2,2
30,1,2,2
44,1,2,2
33,2,2,2
31,1,2,2
37,2,2,2
30,1,2,2
49,2,2,2
43,1,2,2
34,2,2,2
50,1,2,2
44,2,2,2
35,1,2,2
31,1,2,2
56,2,2,2
100,2,2,2
22,1,2,2
69,1,1,2
42,2,2,2
39,1,2,2
28,1,2,2
62,2,2,2
76,1,2,2
24,1,2,2
37,2,2,2
41,2,2,2
46,1,2,2
23,1,2,2
34,2,2,2
58,2,2,2
36,1,2,2
34,1,2,2
41,1,2,2
16,2,2,3
36,1,2,2
100,1,0,1
47,2,2,2
33,1,2,2
26,1,2,2
39,2,2,2
25,2,2,2
49,1,2,2
25,1,2,2
36,1,2,2
57,1,2,2
47,2,2,2
66,2,2,1
29,2,2,2
28,1,2,2
21,1,2,2
25,1,2,2
46,1,2,2
49,2,2,2
26,2,2,2
48,0,1,2
18,2,2,2
24,1,2,2
61,2,2,2
55,2,2,2
50,1,2,2
29,2,2,2
39,1,2,2
35,1,2,2
47,1,2,2
29,1,2,2
57,2,2,2
27,2,2,2
51,2,2,2
31,1,2,2
100,2,2,2
80,2,1,2
76,2,2,2
52,2,2,2
25,2,2,2
59,2,2,2
29,1,2,2
35,2,2,2
32,1,2,2
26,2,2,2
45,1,2,2
28,1,2,2
32,1,2,2
25,1,2,2
26,1,2,2
47,1,2,2
25,1,2,2
36,2,2,2
31,1,2,2
36,2,2,2
36,2,2,2
38,2,2,2
61,2,2,2
66,1,2,4
100,1,0,0
39,1,2,2
35,2,2,2
32,1,2,2
31,1,2,2
98,0,1,2
25,2,2,2
24,1,2,2
54,0,0,2
75,1,2,2
29,2,2,2
31,1,2,2
87,1,2,2
38,2,2,2
32,2,2,2
52,1,2,2
40,1,2,2
42,1,2,2
46,1,2,2
68,1,2,2
48,1,2,2
76,1,2,2
30,1,2,2
47,2,2,2
56,2,2,2
55,2,3,2
40,2,2,2
19,1,2,2
50,2,2,2
31,1,2,2
20,2,2,2
73,2,2,2
81,0,1,0
35,1,2,2
25,1,2,2
28,2,2,2
57,1,2,2
40,2,2,2
29,2,2,2
36,2,2,2
24,2,2,3
26,1,2,2
31,1,2,2
54,1,2,2
23,2,2,2
62,2,2,2
40,1,2,2
29,2,2,2
51,1,2,2
61,2,2,2
25,1,2,2
51,1,2,2
37,2,2,2
37,2,2,2
31,2,2,2
24,2,2,2
37,2,2,2
26,2,2,2
26,1,2,2
35,2,2,2
25,2,2,2
25,1,2,2
27,2,2,2
34,2,2,2
24,2,2,2
42,2,2,2
28,2,2,2
42,2,2,2
47,1,2,2
28,1,2,2
100,2,2,2
53,2,2,2
28,1,2,2
27,1,2,2
64,1,2,2
34,0,1,2
40,2,2,2
45,1,2,2
63,1,2,2
100,1,1,2
61,1,2,2
33,1,2,2
53,2,2,2
28,1,2,2
22,1,2,2
45,1,2,2
38,2,2,2
57,2,2,2
34,1,2,2
32,1,2,2
100,1,0,2
100,2,2,2
17,2,2,2
44,1,2,2
38,1,2,2
68,1,2,2
30,1,2,2
66,2,2,2
38,1,2,2
37,2,2,2
24,1,2,2
48,2,2,2
23,2,2,2
40,1,2,2
25,2,2,2
31,1,2,2
24,1,2,2
35,2,2,2
31,1,2,2
41,2,2,2
23,1,2,2
37,0,1,2
47,1,2,2
33,1,2,2
27,2,2,2
75,2,2,2
19,2,2,2
37,2,2,2
24,1,2,2
55,2,2,2
76,1,1,2
24,2,2,2
33,1,2,2
31,2,2,2
29,1,2,2
70,1,2,2
21,2,2,2
52,2,2,2
31,1,2,2
22,1,2,2
31,2,2,2
100,1,1,2
34,2,2,2
51,1,2,2
100,1,2,2
40,2,2,2
27,1,2,2
21,1,2,2
27,2,2,2
20,2,2,2
65,1,2,2
27,1,2,2
31,2,2,2
44,2,2,2
52,2,3,1
33,1,2,2
20,2,2,2
57,1,2,1
100,2,2,2
39,2,2,2
47,1,2,2
35,2,2,2
100,2,2,1
27,2,2,2
34,1,2,2
26,2,2,2
33,1,2,2
51,2,2,2
91,2,2,2
25,2,2,2
34,2,2,2
48,1,2,2
43,1,2,2
33,2,2,2
42,1,2,2
34,1,2,2
61,1,2,2
45,1,2,2
31,1,2,2
58,2,2,2
28,2,2,2
81,1,2,2
29,2,2,2
43,1,2,2
44,1,2,2
40,1,2,2
29,1,2,2
39,1,2,2
34,2,2,2
42,1,2,2
37,1,2,2
54,1,2,2
17,1,2,2
43,0,1,2
38,1,2,2
30,2,2,2
21,1,2,2
26,1,2,2
27,1,2,2
100,1,2,2
24,2,2,2
26,1,2,2
85,2,2,2
36,2,2,2
29,1,2,2
82,2,2,2
22,1,2,2
57,1,2,2
57,2,2,2
41,1,2,2
79,1,2,2
39,1,2,2
48,1,2,2
59,1,2,2
32,1,2,2
33,0,1,2
44,1,2,2
38,2,2,2
29,1,2,2
69,1,2,2
36,2,2,2
27,1,2,2
30,2,3,2
47,1,2,2
33,1,2,2
26,2,2,2
24,1,2,2
37,2,2,2
56,1,2,2
41,1,2,2
33,1,2,2
100,2,2,0
20,2,2,2
49,2,2,2
34,1,2,2
47,1,2,2
22,1,2,2
27,1,2,2
30,2,2,2
25,1,2,2
38,1,2,2
25,2,2,2
30,1,2,2
21,1,2,2
28,1,2,2
28,2,2,2
36,2,2,2
37,2,2,2
30,2,2,2
45,2,2,2
25,1,2,2
36,1,2,2
24,2,2,2
31,1,2,2
77,1,2,2
52,1,2,2
32,1,2,2
46,2,2,2
32,2,2,2
61,2,2,2
75,2,2,2
33,2,2,2
71,2,3,1
51,1,2,2
36,1,2,2
24,1,2,2
34,2,2,2
35,1,2,2
37,2,2,2
35,1,2,2
45,1,2,2
71,1,2,2
51,1,2,2
30,1,2,2
46,2,2,2
65,2,2,2
83,1,1,2
100,2,2,2
29,1,2,2
81,1,1,2
24,1,2,2
24,1,2,2
23,2,2,2
37,1,2,2
39,2,2,2
38,1,2,2
29,2,2,2
100,1,1,2
30,1,2,2
42,1,2,2
43,1,2,2
21,2,2,2
28,2,2,2
58,1,2,2
43,2,2,2
30,2,2,2
46,2,2,2
28,2,2,2
50,2,2,2
32,1,2,2
36,2,2,2
21,1,2,2
30,2,2,2
31,2,2,2
31,1,2,2
35,2,2,2
37,2,2,2
64,1,2,2
51,2,2,2
33,1,2,2
25,1,2,2
33,2,2,2
40,2,2,2
37,2,2,2
27,2,2,2
58,1,2,2
35,1,2,2
32,1,2,2
52,0,1,2
31,1,2,2
39,2,2,2
56,1,2,2
28,2,2,2
30,1,2,2
61,2,2,2
25,2,2,2
34,2,2,2
21,2,2,2
36,2,2,2
32,2,2,2
39,2,2,2
28,2,2,2
32,1,2,2
100,2,2,0
97,2,2,4
39,2,2,2
25,2,2,2
48,1,2,2
56,1,2,2
34,1,2,2
31,2,2,2
33,2,2,2
36,2,2,2
56,1,2,2
24,2,2,2
48,2,3,2
35,2,2,2
44,1,2,2
32,1,2,2
24,2,2,2
100,2,2,2
35,1,2,2
41,1,2,2
27,1,2,2
34,2,2,2
45,1,2,2
29,2,2,2
34,1,2,2
20,1,2,2
18,2,2,2
18,1,2,2
26,2,2,2
28,1,2,2
54,2,2,2
41,2,2,2
68,1,2,2
92,1,2,2
37,2,2,2
34,2,2,2
50,2,2,2
31,1,2,2
31,2,2,2
34,2,2,2
36,0,1,2
27,1,2,2
19,2,2,3
37,2,2,2
43,1,2,2
22,1,2,2
56,2,2,2
38,2,2,2
48,1,2,2
36,2,2,2
39,1,2,2
32,2,2,2
44,2,2,2
32,2,2,2
29,1,2,2
25,1,2,2
37,2,2,2
59,2,2,2
44,2,2,2
24,2,2,2
100,2,2,2
25,1,2,2
46,2,2,2
29,1,2,2
46,1,2,3
22,1,2,2
33,2,2,2
32,2,2,2
42,2,2,2
61,2,2,2
56,1,2,1
36,1,2,2
43,1,2,2
22,1,2,2
24,2,2,2
39,1,2,2
51,1,1,2
74,1,1,2
33,1,2,2
36,1,2,2
31,1,2,2
47,2,2,2
29,2,2,2
29,1,2,2
38,2,2,2
37,2,2,2
58,2,2,2
58,2,2,2
51,2,2,2
38,1,2,2
40,1,2,2
29,1,2,2
36,1,2,2
44,1,2,2
26,1,2,2
41,1,2,2
78,2,2,2
46,2,2,2
46,1,2,2
39,1,2,2
51,2,2,2
41,1,2,2
31,2,2,2
21,2,2,2
29,1,2,2
85,2,2,2
100,2,2,2
46,1,2,2
26,1,2,2
43,0,1,2
33,2,2,2
22,2,2,2
34,2,2,2
28,1,2,2
30,1,2,2
25,2,2,2
48,1,2,2
55,1,2,2
75,1,2,2
68,2,2,2
32,2,2,2
74,2,2,2
65,2,2,2
34,2,2,2
36,2,2,2
59,2,3,2
36,2,2,2
52,1,2,2
29,2,2,2
21,2,2,2
30,1,2,2
24,1,2,2
43,2,2,2
29,1,2,2
38,2,2,2
48,1,2,2
59,2,2,2
36,2,2,2
22,2,2,2
88,1,1,2
56,1,2,2
41,2,2,2
100,2,1,2
19,1,2,2
68,1,2,2
50,1,2,2
52,1,2,2
31,2,2,2
57,2,2,2
28,1,2,2
100,1,1,2
52,1,2,2
42,1,2,2
55,1,2,2
83,2,2,2
19,1,2,2
78,2,2,2
28,1,2,2
38,2,2,2
38,2,2,2
59,2,2,2
23,2,2,2
27,2,2,2
34,2,2,2
56,1,2,2
32,2,2,2
37,2,2,2
31,2,2,2
62,2,2,3
23,1,2,2
26,2,2,2
21,1,2,2
83,2,2,2
16,1,2,2
100,1,2,0
51,2,2,2
31,1,2,2
58,2,2,2
38,2,2,2
34,1,2,2
100,2,1,2
42,1,2,2
100,2,0,1
29,1,2,2
23,1,2,2
28,1,2,2
35,2,2,2
38,1,2,2
20,1,2,2
40,2,2,2
67,1,2,2
26,1,2,2
25,1,2,2
57,1,2,2
39,1,2,2
49,1,2,2
18,2,2,2
35,1,2,2
45,2,2,2
36,2,2,2
72,1,2,2
37,1,2,2
49,2,2,2
27,1,2,2
48,2,2,2
52,1,2,2
37,1,2,2
49,2,2,2
36,1,2,2
39,1,2,2
42,1,2,2
40,1,2,2
35,2,2,2
25,1,2,2
46,1,2,2
24,1,2,2
27,1,2,2
82,1,2,2
53,2,2,2
36,1,2,2
44,2,2,2
96,1,2,2
35,2,2,2
63,2,2,2
29,1,2,2
31,1,2,2
59,2,2,2
25,1,2,2
47,1,2,2
40,1,2,2
39,2,2,2
36,2,2,2
54,1,2,2
69,1,2,2
53,1,2,2
32,1,2,2
33,1,2,2
64,2,2,3
100,1,0,1
30,1,2,2
35,2,2,2
44,2,2,2
23,2,2,2
58,2,2,2
21,1,2,2
23,1,2,2
44,1,2,2
49,1,2,2
44,2,2,2
44,2,2,2
69,2,2,2
56,2,2,2
36,1,2,2
26,1,2,2
26,2,2,2
35,2,2,2
31,1,2,2
30,2,2,3
20,2,2,2
100,1,0,1
20,1,2,2
28,1,2,2
27,1,2,2
50,2,2,2
23,1,2,2
54,1,2,2
26,2,2,2
19,1,2,2
71,2,3,1
100,1,1,2
86,0,1,2
38,1,2,2
32,2,2,2
100,2,2,2
32,2,2,2
37,2,2,2
33,2,2,2
40,2,2,2
49,1,2,2
30,1,2,2
22,1,2,2
36,2,3,1
50,0,1,2
37,2,2,2
31,1,2,2
39,2,2,2
34,1,2,2
54,1,2,2
48,1,2,2
100,1,2,2
18,1,2,2
53,2,2,2
26,2,2,2
39,1,2,2
41,1,2,2
81,1,2,2
67,1,2,2
54,1,2,2
70,2,2,2
55,2,2,2
41,1,2,2
23,1,2,2
26,1,2,2
24,2,2,2
19,2,2,2
23,2,2,2
31,2,2,2
31,2,2,2
27,1,2,2
48,2,2,2
43,1,2,2
34,1,2,2
47,1,2,2
33,1,2,2
31,0,1,2
21,2,2,2
91,1,2,2
41,1,2,2
51,1,2,2
51,1,2,2
27,1,2,2
28,1,2,2
29,1,2,2
30,1,2,2
29,1,2,2
35,1,2,2
31,1,2,2
19,1,2,2
54,2,2,2
37,2,2,2
50,1,2,2
34,1,2,2
40,2,2,2
34,2,2,2
31,2,2,2
34,1,2,2
30,1,2,2
30,2,2,2
27,2,2,2
28,2,2,2
29,1,2,2
34,1,2,2
63,1,2,2
42,2,2,2
82,2,2,2
34,2,2,3
94,2,2,2
33,2,2,2
21,2,2,2
36,2,2,2
49,1,2,2
28,1,2,2
31,2,2,2
39,2,2,2
59,1,2,2
